arch_str,acc-cifar10,acc-cifar100,acc-ImageNet,flops-cifar10,flops-cifar100,flops-ImageNet
|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,86.1279999991862,63.23333328857422,35.299999966091576,113.95137,113.95722,28.49548
|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,82.3480000024414,54.5266666402181,27.822222213745118,11.71521,11.72106,2.9364399999999997
|skip_connect~0|+|none~0|skip_connect~1|+|none~0|none~1|skip_connect~2|,84.3253333227539,57.299999965413406,29.122222144232854,7.78305,7.788900000000001,1.9534
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,87.17866666422526,65.49999996541341,38.622222191704644,23.51169,23.51754,5.885560000000001
|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,86.58400001302084,64.7933333211263,36.4666666124132,19.57953,19.58538,4.90252
|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|avg_pool_3x3~1|skip_connect~2|,83.02933332600912,53.67999998372395,28.36666660902235,11.71521,11.72106,2.9364399999999997
|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,84.82000000976564,61.71333330891927,30.73333326382107,43.17249,43.17834,10.800760000000002
|none~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|skip_connect~1|none~2|,88.82399998942056,66.45999998779297,38.85555551147461,43.17249,43.17834,10.800760000000002
|skip_connect~0|+|nor_conv_1x1~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,87.36266666341146,65.32000000406902,36.25555546400282,47.10465,47.1105,11.7838
|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,89.47466666259766,67.52666663818358,42.155555541992186,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|none~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,88.57866666259766,68.22000002237957,41.855555555555554,51.03681,51.04265999999999,12.76684
|nor_conv_1x1~0|+|none~0|avg_pool_3x3~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,88.24933333089193,67.17999995524089,38.55555551825629,47.10465,47.1105,11.7838
|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|,88.0239999951172,66.81333325602213,39.133333285861546,47.10465,47.1105,11.7838
|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,87.59333333007812,65.57333329874676,37.62222213406033,82.49409,82.49994,20.63116
|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|avg_pool_3x3~1|skip_connect~2|,87.04800000732422,64.8666666788737,35.044444444444444,11.71521,11.72106,2.9364399999999997
|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|nor_conv_3x3~1|nor_conv_1x1~2|,88.69466665283203,68.45333333333333,35.39999992879232,82.49409,82.49994,20.63116
|skip_connect~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,86.89600000651042,64.47999998575847,34.55555544365777,15.64737,15.65322,3.91948
|none~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,72.01600001383464,46.52666665852865,16.48888883972168,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|nor_conv_3x3~0|none~1|+|nor_conv_1x1~0|none~1|none~2|,85.99866667968752,62.06666663818359,32.74444438340929,51.03681,51.04265999999999,12.76684
|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,91.03999999674478,70.19333330891926,43.4222221713596,82.49409,82.49994,20.63116
|none~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,88.45999997884114,67.43333336791993,38.12222220526801,78.56193,78.56778,19.64812
|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,75.5400000008138,47.08666664632161,19.133333343505864,11.71521,11.72106,2.9364399999999997
|skip_connect~0|+|skip_connect~0|none~1|+|none~0|nor_conv_1x1~1|skip_connect~2|,86.90666666015625,63.77999997762044,34.88888884819878,11.71521,11.72106,2.9364399999999997
|skip_connect~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,87.25333331949871,65.43333329264324,38.188888797336155,78.56193,78.56778,19.64812
|none~0|+|skip_connect~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,87.26666665852865,65.45333327636719,36.744444420708554,78.56193,78.56778,19.64812
|skip_connect~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,82.8666666813151,57.13333333129882,29.56666664971246,11.71521,11.72106,2.9364399999999997
|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,87.9399999967448,65.62000001627605,37.911111117892794,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,89.81599999186199,70.3333333211263,44.666666615804026,90.35841,90.36426,22.59724
|none~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,85.79200000488281,62.13333330891927,31.977777760823567,47.10465,47.1105,11.7838
|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|avg_pool_3x3~1|nor_conv_1x1~2|,90.5693333194987,70.14666668294271,44.233333201090495,82.49409,82.49994,20.63116
|avg_pool_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,32.850666665039064,10.419999995930988,11.677777751074897,7.78305,7.788900000000001,1.9534
|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_3x3~2|,87.69333333089192,65.380000004069,38.94444434271918,82.49409,82.49994,20.63116
|skip_connect~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|skip_connect~1|none~2|,84.11466668457031,57.86666662394206,29.31111104329427,7.78305,7.788900000000001,1.9534
|nor_conv_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,90.42933333170572,69.95333334960937,43.355555464002826,51.03681,51.04265999999999,12.76684
|none~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,72.04133334309896,46.966666658528645,16.544444396972654,43.17249,43.17834,10.800760000000002
|skip_connect~0|+|none~0|avg_pool_3x3~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,59.34666665649414,33.693333307902016,14.511111075507268,7.78305,7.788900000000001,1.9534
|skip_connect~0|+|nor_conv_1x1~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|avg_pool_3x3~2|,84.7880000008138,62.10666665039062,33.15555545213488,19.57953,19.58538,4.90252
|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,86.31066666259767,64.79333333129883,34.64444441731771,19.57953,19.58538,4.90252
|nor_conv_1x1~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,85.3680000032552,62.55333333943685,31.322222162882486,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|skip_connect~2|,88.57466666097007,67.69333334960938,40.077777743869355,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|avg_pool_3x3~2|,88.75466665364583,68.55333327433267,42.788888824462894,86.42625,86.4321,21.6142
|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,89.55066666259766,69.63999993489584,40.7444443359375,121.81569,121.82153999999998,30.461560000000002
|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_3x3~1|nor_conv_1x1~2|,90.39866665934244,70.53999993082682,44.955555477566186,121.81569,121.82153999999998,30.461560000000002
|none~0|+|none~0|skip_connect~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,72.05466666666666,46.826666654459636,16.277777777777775,7.78305,7.788900000000001,1.9534
|nor_conv_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,89.69599999837241,69.4066666422526,42.69999992540147,121.81569,121.82153999999998,30.461560000000002
|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|avg_pool_3x3~1|none~2|,88.43733332763672,66.93999998372396,39.38888889227973,47.10465,47.1105,11.7838
|none~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,90.86399998697915,70.15999997965496,44.11111110432943,78.56193,78.56778,19.64812
|none~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_3x3~0|none~1|none~2|,88.49999998942057,66.86000000813802,38.57777766248915,78.56193,78.56778,19.64812
|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,86.68666666910808,63.73333332519531,36.199999938964844,47.10465,47.1105,11.7838
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,84.24799998697917,57.95999994913737,29.411111080593532,11.71521,11.72106,2.9364399999999997
|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,85.36799999186199,61.8733333211263,33.65555546739366,78.56193,78.56778,19.64812
|nor_conv_3x3~0|+|none~0|none~1|+|none~0|none~1|nor_conv_1x1~2|,9.711999999186197,0.9999999992370605,0.8333333324856228,47.10465,47.1105,11.7838
|nor_conv_3x3~0|+|skip_connect~0|none~1|+|avg_pool_3x3~0|none~1|avg_pool_3x3~2|,70.82133334391277,44.4666666015625,15.81111110687256,43.17249,43.17834,10.800760000000002
|skip_connect~0|+|none~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|avg_pool_3x3~2|,83.60933334391277,56.85999998168945,29.444444393581815,11.71521,11.72106,2.9364399999999997
|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,90.04799998697916,69.14666660970052,44.01111106024848,82.49409,82.49994,20.63116
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,88.69066666422526,66.79333333536783,38.544444383409285,54.96896999999999,54.97482,13.74988
|none~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|,89.14666666422526,67.09333339029948,40.07777780151367,47.10465,47.1105,11.7838
|none~0|+|nor_conv_1x1~0|none~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_3x3~2|,89.13333333414714,69.11333330891927,42.52222225613064,51.03681,51.04265999999999,12.76684
|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,91.35066664876302,72.77333326416016,45.533333285861545,153.27297,153.27882,38.32588
|nor_conv_3x3~0|+|nor_conv_3x3~0|none~1|+|none~0|nor_conv_3x3~1|nor_conv_3x3~2|,88.81599999348958,66.10666662190755,32.344444403754345,149.34081,149.34666,37.34284
|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|avg_pool_3x3~2|,81.26533332600911,51.60666668294271,25.400000027126737,11.71521,11.72106,2.9364399999999997
|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|skip_connect~2|,87.81599999023437,65.32,37.12222215101454,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|none~0|nor_conv_1x1~1|+|avg_pool_3x3~0|nor_conv_3x3~1|skip_connect~2|,87.91333333658855,65.97999993489583,37.811111070421,51.03681,51.04265999999999,12.76684
|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,89.44799999267578,68.29333326822916,42.69999996270074,51.03681,51.04265999999999,12.76684
|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_1x1~0|avg_pool_3x3~1|avg_pool_3x3~2|,74.04666666178386,43.65333329671224,22.72222220611572,11.71521,11.72106,2.9364399999999997
|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_1x1~1|skip_connect~2|,86.40666665934246,62.140000024414064,33.35555547078451,19.57953,19.58538,4.90252
|skip_connect~0|+|none~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|avg_pool_3x3~2|,88.93866665608725,66.76000003051759,40.01111103312174,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|avg_pool_3x3~0|skip_connect~1|nor_conv_1x1~2|,86.74933332845052,66.12666667683919,37.644444376627604,23.51169,23.51754,5.885560000000001
|avg_pool_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_1x1~0|none~1|nor_conv_1x1~2|,86.70799999755859,64.27333328653971,36.466666592068144,19.57953,19.58538,4.90252
|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,87.43466667480469,65.91999997965495,38.13333326551649,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,87.54799999267578,65.48000002644858,36.777777720133464,78.56193,78.56778,19.64812
|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|nor_conv_1x1~2|,84.04266667073567,58.593333306884766,30.133333284166124,15.64737,15.65322,3.91948
|avg_pool_3x3~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|avg_pool_3x3~1|none~2|,63.27599999837239,39.61333330688476,13.777777751498752,7.78305,7.788900000000001,1.9534
|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|,85.94,63.74666664835612,36.000000003390845,82.49409,82.49994,20.63116
|nor_conv_1x1~0|+|none~0|skip_connect~1|+|none~0|skip_connect~1|none~2|,86.0266666756185,62.09333331502279,33.01111110432943,11.71521,11.72106,2.9364399999999997
|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,85.50400000488281,63.65333334554037,33.52222219679091,15.64737,15.65322,3.91948
|nor_conv_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|nor_conv_3x3~1|skip_connect~2|,90.98933331542969,70.12666666666667,43.67777774047852,82.49409,82.49994,20.63116
|nor_conv_3x3~0|+|nor_conv_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|skip_connect~2|,88.50933333414713,67.08666662394207,39.07777777099609,113.95137,113.95722,28.49548
|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,84.93333332600912,60.61999995727539,33.74444446139866,47.10465,47.1105,11.7838
|nor_conv_1x1~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|none~1|nor_conv_1x1~2|,89.09599999186197,69.25999999389649,41.81111112467448,54.96896999999999,54.97482,13.74988
|nor_conv_1x1~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|skip_connect~2|,88.96133331868488,68.75999996744792,40.9111111178928,82.49409,82.49994,20.63116
|none~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|nor_conv_1x1~1|none~2|,9.711999999999998,0.9999999992370605,0.8333333316379123,15.64737,15.65322,3.91948
|none~0|+|none~0|none~1|+|none~0|none~1|avg_pool_3x3~2|,9.712000000508626,0.9999999994913736,0.8333333320617676,7.78305,7.788900000000001,1.9534
|none~0|+|none~0|skip_connect~1|+|avg_pool_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,72.04400000081381,47.0399999613444,16.66666661665175,11.71521,11.72106,2.9364399999999997
|nor_conv_1x1~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|skip_connect~1|avg_pool_3x3~2|,84.47733333577473,59.74666665649414,31.755555486043296,47.10465,47.1105,11.7838
|none~0|+|none~0|nor_conv_1x1~1|+|none~0|none~1|avg_pool_3x3~2|,9.712000000712077,0.9999999992370605,0.8333333326975505,11.71521,11.72106,2.9364399999999997
|nor_conv_1x1~0|+|none~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|nor_conv_3x3~2|,89.61466665852866,70.0933332845052,44.89999994574652,86.42625,86.4321,21.6142
|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|avg_pool_3x3~1|avg_pool_3x3~2|,88.05333333170573,65.35333332926433,35.72222222222222,43.17249,43.17834,10.800760000000002
|nor_conv_3x3~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|skip_connect~2|,90.97733331461588,69.83999993896485,44.72222218492296,86.42625,86.4321,21.6142
|skip_connect~0|+|nor_conv_3x3~0|none~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,89.02533333170574,66.77999998168946,39.41111099243164,78.56193,78.56778,19.64812
|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|avg_pool_3x3~1|skip_connect~2|,83.83066665771484,56.38666663004557,29.62222219509549,11.71521,11.72106,2.9364399999999997
|avg_pool_3x3~0|+|none~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|none~2|,86.99466666829426,64.00666663004559,34.15555546739366,78.56193,78.56778,19.64812
|avg_pool_3x3~0|+|none~0|avg_pool_3x3~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,86.40000000569661,63.959999991861984,35.222222229003904,43.17249,43.17834,10.800760000000002
|none~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,88.92266666422525,68.24666665039062,41.711111060248484,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,88.58266667805988,68.13999993896485,39.09999990505642,117.88353,117.88938,29.47852
|skip_connect~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,76.57866667317708,49.51333331298829,21.12222219000922,7.78305,7.788900000000001,1.9534
|none~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_3x3~2|,88.91466666259765,69.03999998779297,42.73333326212565,86.42625,86.4321,21.6142
|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,9.712000000915529,0.9999999994913736,0.8333333326975505,78.56193,78.56778,19.64812
|none~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,88.71999999593099,67.69333332316081,38.533333336724176,86.42625,86.4321,21.6142
|nor_conv_1x1~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|skip_connect~2|,86.7720000048828,65.4933333211263,35.94444435289171,19.57953,19.58538,4.90252
|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|avg_pool_3x3~1|nor_conv_3x3~2|,77.31466666748047,52.61999995727539,23.288888849894207,47.10465,47.1105,11.7838
|skip_connect~0|+|none~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|skip_connect~2|,89.22266665201823,67.30000002441405,39.899999922010636,47.10465,47.1105,11.7838
|avg_pool_3x3~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,86.70533333333333,64.93999998168945,36.344444441053604,15.64737,15.65322,3.91948
|avg_pool_3x3~0|+|nor_conv_1x1~0|avg_pool_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,80.59199998616536,51.746666630045574,27.32222219509548,15.64737,15.65322,3.91948
|none~0|+|none~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_3x3~1|nor_conv_1x1~2|,86.0586666805013,62.060000002034506,33.344444403754345,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|skip_connect~1|skip_connect~2|,89.17066665039063,67.59999994506836,40.822222174750436,82.49409,82.49994,20.63116
|nor_conv_3x3~0|+|nor_conv_3x3~0|none~1|+|nor_conv_1x1~0|avg_pool_3x3~1|nor_conv_3x3~2|,89.85199999267577,70.66000002034504,44.65555555555556,117.88353,117.88938,29.47852
|skip_connect~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,89.03333332031251,66.75333334960938,40.66666663275825,47.10465,47.1105,11.7838
|none~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|none~0|none~1|avg_pool_3x3~2|,82.13466666422526,57.25333329060873,23.744444444444444,47.10465,47.1105,11.7838
|nor_conv_3x3~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,89.33199999104818,66.90666667277019,40.74444435289171,47.10465,47.1105,11.7838
|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,90.39066666829427,70.17999993896484,43.85555550808377,82.49409,82.49994,20.63116
